EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-8-9,77,65,53,61,57,51,100,86,43,29.87,29.80,29.72,10,7,0,7,1,9,0.00,3,Fog,149
2008-8-10,76,63,50,61,56,52,100,91,64,29.91,29.88,29.86,10,6,0,22,3,31,0.23,2,Fog-Rain-Thunderstorm,269
2008-8-11,68,64,60,63,61,59,100,93,78,29.89,29.83,29.78,10,9,4,16,5,20,0.27,7,Rain,16
2008-8-12,75,65,54,64,60,57,100,88,57,29.79,29.75,29.71,10,7,1,21,3,32,0.37,5,Rain-Thunderstorm,297
2008-8-13,76,62,48,63,56,48,100,95,50,29.85,29.81,29.78,10,4,0,26,3,33,0.16,3,Fog-Rain,155
2008-8-14,76,65,54,61,59,54,100,90,50,29.92,29.82,29.79,10,7,0,12,3,14,0.01,4,Fog-Rain,13
2008-8-15,74,63,52,63,58,52,100,92,61,30.04,29.99,29.93,10,8,1,8,1,9,0.05,2,Rain,18
2008-8-16,74,63,51,63,57,51,100,93,66,30.00,29.96,29.86,10,5,0,13,3,16,0.15,1,Fog-Rain-Thunderstorm,202
2008-8-17,81,68,54,64,60,55,100,86,54,29.92,29.89,29.85,10,8,2,14,4,20,0.00,2,,210
2008-8-18,83,70,57,68,62,57,100,85,55,29.93,29.88,29.81,10,7,1,18,6,25,0.12,1,Thunderstorm,202
2008-8-19,70,60,49,65,59,46,100,87,47,30.15,29.92,29.82,10,7,1,17,6,22,1.53,6,Rain-Thunderstorm,3
2008-8-20,73,59,44,56,48,45,100,81,40,30.24,30.19,30.15,10,8,0,14,3,18,0.00,0,Fog,340
2008-8-21,77,62,47,62,53,46,100,90,49,30.31,30.27,30.23,10,6,1,9,1,13,0.01,0,,156
2008-8-22,82,66,50,66,57,51,100,93,51,30.37,30.32,30.29,10,4,0,8,2,10,0.00,1,Fog,161
2008-8-23,80,67,54,61,58,54,100,87,45,30.34,30.28,30.15,10,6,0,13,4,17,0.00,0,Fog,192
2008-8-24,81,68,54,68,61,54,100,86,62,30.14,30.03,29.85,10,7,1,13,5,18,0.00,3,,190
2008-8-25,76,66,56,67,60,48,100,80,49,30.02,29.87,29.80,10,6,0,20,7,25,0.00,2,Fog,327
2008-8-26,73,60,47,52,48,43,100,69,33,30.15,30.07,30.01,10,10,9,14,6,18,0.00,0,,348
2008-8-27,78,61,44,59,51,45,100,79,39,30.17,30.13,30.07,10,8,1,8,1,12,0.00,0,,86
2008-8-28,81,66,51,63,57,52,100,87,45,30.12,30.08,30.01,10,7,1,8,1,10,0.00,1,,210
2008-8-29,74,64,53,63,57,54,100,91,64,30.05,30.02,29.97,10,6,0,12,3,15,0.01,3,Fog,195
2008-8-30,77,66,55,67,64,57,100,89,64,30.06,30.00,29.95,10,8,0,10,4,13,0.00,5,Fog,186
2008-8-31,78,65,52,58,55,52,100,82,43,30.18,30.10,30.06,10,6,0,14,5,17,0.00,0,Fog,353
2008-9-1,80,64,48,60,54,48,100,82,45,30.23,30.18,30.11,10,8,2,15,3,20,0.00,0,,48
2008-9-2,86,69,52,66,58,52,100,86,42,30.13,30.08,29.98,10,6,0,13,2,18,0.00,0,Fog,48
2008-9-3,83,71,59,70,64,60,100,92,58,29.98,29.92,29.83,10,5,0,7,2,10,T,1,Fog-Thunderstorm,169
2008-9-4,85,71,57,70,62,57,100,94,51,30.01,29.93,29.88,10,4,0,12,4,15,0.00,1,Fog,215
2008-9-5,86,73,60,68,64,60,100,87,45,30.03,30.00,29.93,10,4,0,21,8,30,0.00,1,Fog,183
2008-9-6,72,69,65,72,67,64,100,96,79,29.98,29.91,29.71,10,5,1,12,3,17,0.93,6,Rain,157
2008-9-7,76,67,57,68,58,52,100,75,46,30.02,29.87,29.70,10,10,3,18,4,23,0.02,4,Rain,349
2008-9-8,76,64,51,59,55,52,100,80,46,30.14,30.09,30.04,10,8,0,16,5,22,0.00,1,Fog,202
2008-9-9,70,59,48,65,58,49,100,94,55,30.07,29.95,29.87,10,6,0,15,4,21,0.24,4,Fog-Rain-Thunderstorm,224
2008-9-10,65,54,42,50,46,39,100,76,43,30.38,30.25,30.07,10,9,2,16,4,21,0.00,1,,27
2008-9-11,69,53,37,54,43,37,100,93,45,30.43,30.36,30.25,10,4,0,13,2,21,0.00,1,Fog,156
2008-9-12,68,59,50,63,58,50,100,96,78,30.24,30.06,29.94,10,7,2,15,5,22,0.27,7,Rain,191
2008-9-13,76,69,62,68,64,62,100,96,74,29.95,29.90,29.85,10,4,0,8,2,10,T,6,Fog,178
2008-9-14,83,76,68,75,70,68,100,94,74,29.85,29.71,29.44,10,6,2,17,9,23,0.43,6,Rain,188
2008-9-15,80,68,56,72,58,51,80,67,49,30.06,29.70,29.34,10,10,10,26,11,39,0.00,5,,270
2008-9-16,68,56,44,52,49,46,100,79,49,30.19,30.13,30.08,10,9,2,14,4,16,0.00,2,,158
2008-9-17,69,54,39,53,45,39,100,93,51,30.20,30.17,30.06,10,4,0,14,4,17,0.00,1,Fog,165
2008-9-18,63,53,42,53,46,38,100,77,48,30.45,30.22,30.08,10,8,2,17,8,22,0.00,3,,32
2008-9-19,62,47,32,47,41,33,100,85,43,30.54,30.45,30.37,10,7,0,12,2,15,0.00,0,Fog,190
2008-9-20,66,50,34,51,42,35,100,94,56,30.40,30.31,30.18,10,4,0,13,4,15,0.00,0,Fog,183
2008-9-21,66,55,43,55,47,43,100,92,68,30.39,30.23,30.17,10,6,0,16,4,20,0.00,2,Fog,56
2008-9-22,65,51,36,46,41,32,100,78,30,30.51,30.45,30.38,10,9,0,12,4,16,0.00,1,Fog,40
2008-9-23,66,49,32,49,40,32,100,85,45,30.56,30.51,30.45,10,8,2,6,0,,0.00,1,,73
2008-9-24,73,56,39,58,47,39,100,93,46,30.49,30.45,30.40,10,5,0,0,0,,0.00,0,Fog,-1
2008-9-25,73,58,44,59,50,45,100,94,57,30.51,30.46,30.43,10,3,0,6,0,,0.00,3,Fog,175
2008-9-26,60,53,46,59,54,46,100,94,80,30.44,30.34,30.19,10,9,2,12,4,,0.28,5,Rain,358
2008-9-27,73,64,57,66,61,58,100,91,73,30.18,30.09,30.00,10,9,4,6,3,,0.01,7,Rain,12
2008-9-28,75,68,62,66,64,63,100,95,68,30.00,29.92,29.84,10,8,0,13,1,,0.06,7,Fog-Rain,4
2008-9-29,64,60,55,63,57,53,100,90,75,30.01,29.98,29.93,10,8,2,10,4,,0.03,8,Rain,29
2008-9-30,64,59,54,57,54,53,100,88,67,29.99,29.89,29.75,10,8,3,8,1,,0.11,7,Rain,190
2008-10-1,68,60,52,59,56,52,100,94,58,29.73,29.64,29.57,10,6,1,13,4,21,0.56,7,Rain-Thunderstorm,193
2008-10-2,59,50,41,54,47,39,100,83,61,29.75,29.58,29.50,10,9,3,16,6,23,0.05,6,Rain,229
2008-10-3,58,50,41,48,41,34,93,76,43,30.06,29.85,29.73,10,10,4,20,8,28,0.04,5,Rain,217
2008-10-4,59,46,32,43,40,33,100,79,51,30.26,30.17,30.07,10,10,8,15,5,20,0.00,3,,231
2008-10-5,57,46,35,47,43,37,100,89,62,30.33,30.29,30.26,10,8,2,10,2,14,T,5,Rain,2
2008-10-6,52,42,32,45,37,33,100,96,70,30.41,30.34,30.30,10,4,0,17,2,23,0.04,4,Fog-Rain,50
2008-10-7,59,43,27,40,34,28,100,86,40,30.45,30.33,30.22,10,7,2,7,1,10,0.00,0,,142
2008-10-8,63,47,30,50,36,30,100,92,48,30.24,30.16,29.92,10,4,0,13,2,18,0.19,4,Fog-Rain,188
2008-10-9,70,56,42,57,51,42,100,87,47,29.99,29.88,29.83,10,6,1,16,7,22,0.06,5,Rain,209
2008-10-10,71,53,35,46,40,35,100,81,29,30.35,30.14,29.99,10,6,0,10,2,14,0.00,0,Fog,240
2008-10-11,66,50,34,48,41,34,100,88,48,30.49,30.43,30.35,10,7,1,8,0,9,0.00,0,,70
2008-10-12,68,52,35,48,41,36,100,93,45,30.58,30.50,30.40,10,4,0,8,1,10,0.00,1,Fog,158
2008-10-13,65,54,42,56,49,42,100,92,63,30.40,30.32,30.25,10,6,1,7,1,8,0.00,0,,180
2008-10-14,67,57,46,57,52,46,100,90,67,30.25,30.16,30.00,10,7,1,16,7,22,0.00,3,,209
2008-10-15,65,53,40,47,44,40,96,73,51,30.18,30.10,29.99,10,10,10,12,3,14,0.00,1,,122
2008-10-16,59,52,45,57,51,40,100,96,71,30.04,29.91,29.83,10,5,2,14,3,18,0.58,7,Rain,339
2008-10-17,53,41,29,39,36,29,100,67,54,30.22,30.14,30.05,10,10,10,14,8,18,0.00,3,,10
2008-10-18,52,39,25,36,29,25,100,74,38,30.39,30.29,30.22,10,10,9,17,6,22,0.00,0,,22
2008-10-19,53,39,24,33,27,22,100,74,28,30.48,30.41,30.34,10,10,8,15,3,18,0.00,0,,60
2008-10-20,51,36,21,42,30,21,100,83,46,30.35,30.23,30.05,10,9,2,5,1,7,T,4,,165
2008-10-21,46,43,40,45,41,38,100,93,82,30.03,29.88,29.81,10,7,2,12,2,15,0.28,8,Rain,189
2008-10-22,42,40,37,41,34,30,89,79,67,30.61,30.31,29.94,10,10,10,22,11,28,0.00,8,Rain,19
2008-10-23,47,35,23,30,27,23,92,71,42,30.73,30.65,30.59,10,10,10,15,5,20,0.00,3,,47
2008-10-24,53,36,19,33,28,19,100,79,41,30.61,30.47,30.34,10,10,5,8,1,10,0.00,0,,168
2008-10-25,60,48,35,59,49,32,100,95,85,30.32,29.94,29.66,10,6,1,17,4,25,1.87,7,Rain,239
2008-10-26,59,47,34,52,40,34,100,89,47,29.87,29.83,29.76,10,6,0,15,4,20,0.00,1,Fog,201
2008-10-27,52,42,31,47,40,32,100,94,77,29.96,29.91,29.84,10,7,2,10,2,13,0.31,4,Rain,323
2008-10-28,44,39,33,43,38,29,100,90,75,29.84,29.47,29.25,10,8,3,24,11,29,0.75,8,Rain-Snow,344
2008-10-29,38,34,29,29,26,23,75,67,59,29.97,29.65,29.34,10,10,10,18,8,26,T,5,,253
2008-10-30,43,34,25,27,23,22,92,65,43,30.48,30.30,30.00,10,10,10,17,5,23,0.00,3,,300
2008-10-31,57,40,23,37,31,23,100,73,46,30.46,30.30,30.15,10,10,10,15,6,20,0.00,1,,194
2008-11-1,48,37,26,39,32,25,92,69,49,30.40,30.27,30.14,10,10,10,15,7,20,0.00,4,,47
2008-11-2,43,32,20,25,20,12,96,70,29,30.61,30.55,30.42,10,10,10,15,3,20,0.00,0,,45
2008-11-3,52,37,22,43,35,21,100,81,63,30.55,30.45,30.39,10,10,6,10,4,15,0.00,7,,198
2008-11-4,56,46,36,47,42,36,100,97,72,30.42,30.37,30.29,8,3,0,8,2,12,0.00,6,Fog,172
2008-11-5,63,49,35,51,42,35,100,94,65,30.28,30.24,30.14,9,3,0,7,1,8,0.00,2,Fog,212
2008-11-6,63,57,50,54,50,47,100,85,67,30.13,30.08,29.98,10,9,6,9,7,10,T,4,Rain,354
2008-11-7,63,58,52,55,53,51,100,89,72,29.96,29.87,29.76,10,8,2,8,2,10,T,8,Rain,52
2008-11-8,59,53,47,57,55,43,100,97,87,29.76,29.66,29.56,10,5,2,17,5,21,0.14,8,Rain,188
2008-11-9,54,48,42,44,38,32,93,73,46,29.83,29.71,29.62,10,10,10,17,5,21,T,8,Rain,238
2008-11-10,47,39,31,38,29,22,86,67,42,30.10,29.94,29.83,10,10,10,21,8,31,T,6,Rain,221
2008-11-11,44,36,28,31,26,22,78,63,44,30.34,30.23,30.11,10,10,9,20,7,24,T,7,,245
2008-11-12,42,33,23,29,26,22,100,84,57,30.43,30.39,30.37,10,10,8,9,2,13,0.00,2,,179
2008-11-13,44,35,25,45,39,24,100,97,76,30.33,30.10,29.99,10,5,2,5,0,6,0.38,7,Rain,43
2008-11-14,59,52,44,55,49,44,100,98,86,29.99,29.91,29.83,10,4,1,9,1,10,0.01,8,,172
2008-11-15,67,57,47,61,54,48,100,99,81,29.82,29.59,29.28,10,4,0,20,4,28,0.27,7,Fog-Rain,192
2008-11-16,58,47,36,56,37,28,93,75,53,29.78,29.46,29.24,10,9,2,23,11,35,0.32,7,Rain,233
2008-11-17,41,31,20,28,23,19,88,71,52,30.06,29.95,29.80,10,10,9,15,7,21,T,2,Snow,238
2008-11-18,30,25,19,25,21,10,92,78,55,30.22,30.12,30.05,10,6,0,20,6,26,T,7,Fog-Snow,27
2008-11-19,31,25,18,14,10,8,77,56,39,30.20,30.10,29.95,10,10,10,17,7,23,0.00,3,,10
2008-11-20,34,25,16,16,12,10,92,58,39,29.94,29.88,29.81,10,10,10,20,7,24,0.00,3,,311
2008-11-21,30,24,18,15,9,6,68,54,36,30.22,30.09,29.92,10,10,10,16,7,21,0.00,2,,317
2008-11-22,26,20,14,9,6,3,67,54,40,30.32,30.28,30.20,10,10,10,25,9,32,0.00,4,,311
2008-11-23,31,19,7,19,12,4,91,67,33,30.41,30.35,30.30,10,8,1,15,4,21,0.00,3,,220
2008-11-24,36,25,14,34,21,12,92,75,51,30.35,30.21,29.95,10,6,2,14,2,18,0.25,5,Rain,155
2008-11-25,40,37,33,39,36,33,100,99,92,29.92,29.69,29.62,10,4,1,10,4,14,1.03,8,Rain,192
2008-11-26,38,34,30,34,32,28,100,94,82,29.92,29.80,29.68,10,4,0,14,7,18,T,7,Fog-Rain,191
2008-11-27,39,35,31,30,28,26,92,75,59,29.96,29.92,29.88,10,8,2,13,6,16,0.00,8,,200
2008-11-28,43,37,31,31,28,26,82,74,57,29.87,29.76,29.70,10,8,1,15,6,21,T,7,,214
2008-11-29,42,31,19,30,24,18,92,73,44,30.00,29.90,29.80,10,10,10,15,4,22,0.00,4,,235
2008-11-30,36,28,20,35,27,20,100,90,59,29.99,29.82,29.53,10,7,2,13,3,17,0.38,6,Rain-Snow,9
2008-12-1,51,44,36,43,37,30,100,90,46,29.68,29.44,29.35,10,7,0,17,6,23,0.27,7,Fog-Rain,206
2008-12-2,42,34,25,28,25,22,92,67,43,30.17,29.97,29.70,10,10,5,21,7,30,0.00,5,,223
2008-12-3,39,31,23,26,23,21,92,72,52,30.25,30.17,30.06,10,8,1,13,5,17,0.00,1,,198
2008-12-4,37,34,30,36,30,23,100,81,59,30.12,30.02,29.96,10,8,3,16,7,24,0.08,6,Rain,214
2008-12-5,32,24,15,23,17,13,92,69,51,30.22,30.18,30.11,10,10,10,13,4,18,0.00,4,,228
2008-12-6,31,23,14,19,15,12,96,72,49,30.20,30.05,29.82,10,9,2,17,5,24,0.00,2,,188
2008-12-7,33,21,9,27,22,-4,92,84,48,30.10,29.70,29.58,10,4,1,25,7,35,T,7,Snow,209
2008-12-8,16,10,4,4,-4,-9,87,59,40,30.51,30.38,30.13,10,10,10,16,4,21,0.00,0,,347
2008-12-9,41,25,8,40,17,3,96,79,59,30.47,30.27,29.98,10,6,1,20,4,29,0.12,7,Rain-Snow,240
2008-12-10,53,39,25,54,40,22,100,98,85,30.17,29.92,29.79,10,5,0,16,9,22,0.87,8,Fog-Rain,62
2008-12-11,27,26,24,27,23,19,100,91,81,30.20,30.02,29.75,10,4,0,10,5,14,0.62,8,Fog-Snow,60
2008-12-12,32,22,11,30,27,10,100,96,92,30.01,29.64,29.42,10,5,0,20,5,23,0.74,7,Fog-Rain-Snow-Thunderstorm,42
2008-12-13,17,9,0,12,7,-2,96,87,80,30.50,30.34,30.03,10,10,8,12,2,14,0.00,2,,30
2008-12-14,32,16,0,29,19,-2,100,89,84,30.51,30.43,30.36,10,8,5,15,2,18,0.00,2,,205
2008-12-15,50,35,19,49,32,18,100,94,45,30.35,30.17,30.02,10,4,0,20,5,30,0.23,6,Fog-Rain,232
2008-12-16,40,32,23,27,16,12,81,60,51,30.57,30.49,30.29,10,10,10,16,5,20,0.00,3,,347
2008-12-17,35,28,21,30,23,12,100,93,60,30.40,30.14,29.97,10,3,0,12,4,17,0.50,8,Fog-Rain-Snow,26
2008-12-18,35,31,26,27,23,18,92,74,56,30.32,30.27,30.22,10,9,2,12,6,16,T,7,Snow,217
2008-12-19,28,20,11,19,11,6,96,84,62,30.34,30.12,29.97,10,4,0,17,8,22,0.26,6,Fog-Snow,22
2008-12-20,12,10,8,9,7,5,91,87,83,30.26,30.18,30.04,9,3,0,12,6,14,0.03,7,Fog-Snow,64
2008-12-21,23,17,10,21,17,8,100,93,59,30.17,29.66,29.43,10,3,0,17,5,22,0.49,7,Fog-Snow,353
2008-12-22,21,5,-11,6,0,-14,91,62,49,30.40,29.93,29.55,10,10,10,22,7,29,0.00,2,,247
2008-12-23,23,1,-21,15,0,-23,91,77,62,30.65,30.56,30.40,10,9,1,12,2,16,0.00,3,,180
2008-12-24,42,33,23,41,26,13,100,92,60,30.38,30.08,29.58,10,3,1,17,5,29,0.37,8,Rain-Snow,202
2008-12-25,45,29,12,34,21,13,93,63,44,30.51,30.17,29.67,10,10,10,30,9,45,0.01,5,,291
2008-12-26,30,17,3,26,16,2,96,82,63,30.63,30.54,30.42,10,10,9,8,1,9,T,4,,165
2008-12-27,38,34,29,38,33,25,100,97,78,30.40,30.19,30.02,10,3,0,10,3,14,0.05,8,Fog-Rain,205
2008-12-28,50,43,35,48,38,25,100,89,52,30.02,29.82,29.63,10,4,0,22,7,31,0.02,7,Fog-Rain,236
2008-12-29,39,34,28,27,25,23,78,68,59,29.99,29.84,29.58,10,9,1,13,5,18,T,7,Snow,237
2008-12-30,35,23,10,28,18,9,82,70,36,29.95,29.73,29.54,10,8,2,30,9,44,T,4,Snow,268
2008-12-31,19,11,3,13,6,-9,88,74,54,30.05,29.79,29.68,10,4,0,23,10,31,0.04,6,Fog-Snow,26
